# id Eave Estd E_Sti
0 -0.87530 0.00867 1.408389408e-07
1 -0.88074 0.01800 9.870760833e-06
2 -0.88757 0.02346 1.996468607e-06
3 -0.81755 0.02318 2.685286540e-08
4 -0.84030 0.01327 1.054716648e-04
5 -0.77539 0.01728 2.051437398e-09
6 -0.80798 0.03473 7.338485154e-10
7 -0.83027 0.02495 1.178594606e-05
8 -0.84219 0.00807 6.177261823e-07
9 -0.87218 0.02581 5.173329456e-04
10 -0.82448 0.01442 2.257890772e-08
11 -0.85720 0.01089 1.147806982e-08
12 -0.92570 0.01775 1.590766438e-05
13 -0.83882 0.01442 3.900319774e-06
14 -0.79135 0.02109 1.767317804e-06
15 -0.84741 0.01876 7.341631256e-06
16 -0.90009 0.01866 1.150794257e-05
17 -0.96513 0.03405 3.199416973e-06
18 -0.68032 0.01940 9.028744417e-08
19 -1.00218 0.01992 1.288166034e-06
20 -0.87159 0.02233 2.562850620e-07
21 -0.72878 0.01841 1.495282270e-08
22 -0.88380 0.02440 1.435617041e-06
23 -0.85531 0.01656 1.376059151e-06
24 -0.92359 0.03494 2.519860266e-07
25 -0.87466 0.02790 6.218559213e-04
26 -1.03601 0.02456 1.800483342e-04
27 -0.81865 0.01719 4.391920026e-07
28 -0.83398 0.01992 1.152487769e-07
29 -0.86517 0.01434 2.837418534e-09
30 -0.95703 0.02766 4.341612767e-06
31 -0.98000 0.02345 3.082714678e-06
32 -0.86195 0.02064 1.040967754e-05
33 -0.86982 0.02778 2.892426540e-05
34 -0.93814 0.03372 1.145087651e-06
35 -0.92705 0.01583 6.028267359e-08
36 -0.82541 0.03171 2.414043976e-08
37 -0.95236 0.02325 7.158996435e-07
38 -0.99567 0.02057 1.020353212e-05
39 -0.82166 0.01940 8.567333556e-08
40 -0.90374 0.01262 4.501759187e-08
41 -0.89563 0.01744 8.375529731e-09
42 -0.78549 0.01092 1.215535873e-06
43 -0.72657 0.02462 8.828184674e-10
44 -0.80332 0.02549 1.027659652e-08
45 -0.69127 0.02259 6.536159809e-09
46 -0.74552 0.02697 4.924857678e-09
47 -0.85775 0.01669 7.011944786e-05
48 -0.78888 0.01955 7.814824443e-08
49 -0.96488 0.02639 1.557202117e-06
50 -0.74426 0.02723 1.034988337e-09
51 -0.98301 0.02596 8.140134717e-06
52 -1.00109 0.02043 9.805884912e-06
53 -0.78811 0.02057 1.419645773e-07
54 -0.91714 0.01984 1.649415135e-05
55 -0.91627 0.02402 1.239613889e-07
56 -0.86384 0.01274 7.402411574e-09
57 -0.91207 0.01928 5.045686105e-08
58 -0.76912 0.03378 1.127884749e-08
59 -0.90756 0.01827 6.510258259e-07
60 -0.92698 0.01689 2.252994426e-06
61 -0.83804 0.03538 2.275448243e-04
62 -0.85270 0.02388 9.029431984e-06
63 -0.90445 0.02319 1.800587353e-07
64 -0.90758 0.01785 1.439702283e-07
65 -0.75901 0.01064 3.891253670e-08
66 -0.92129 0.03455 1.713973490e-05
67 -0.96718 0.04726 1.473780164e-04
68 -0.92390 0.02385 6.272675641e-07
69 -0.88218 0.02057 1.333703671e-07
70 -0.82813 0.01819 5.019641862e-07
71 -0.85043 0.02499 7.009877556e-07
72 -0.80411 0.02315 6.001988832e-07
73 -0.69725 0.01638 3.624125064e-10
74 -0.88078 0.01972 4.216383861e-06
75 -0.82641 0.02483 2.734702093e-07
76 -0.95704 0.01956 4.919319836e-07
77 -0.96588 0.00843 1.102858495e-06
78 -0.73338 0.01725 7.623632589e-08
79 -0.93968 0.01772 5.950294488e-08
80 -0.94264 0.02448 4.518141388e-07
81 -0.74188 0.01578 7.561382808e-09
82 -0.87392 0.02038 4.146103371e-07
83 -0.85346 0.01560 7.559537490e-08
84 -0.84163 0.02096 1.058421458e-04
85 -0.82532 0.03072 3.551234226e-08
86 -0.71149 0.02075 7.018399061e-09
87 -0.93658 0.03614 1.793113516e-09
88 -0.92307 0.02182 4.239371791e-05
89 -0.84827 0.02601 7.700247572e-07
90 -0.91668 0.02404 2.261596310e-07
91 -0.95263 0.02242 1.248814215e-08
92 -0.70237 0.01430 8.448484062e-10
93 -0.89775 0.01540 5.224497595e-08
94 -0.87403 0.01870 3.055806576e-06
95 -0.89001 0.01316 1.170864086e-05
96 -0.93090 0.03229 1.099647403e-06
97 -0.85472 0.01583 4.164877756e-07
98 -0.80669 0.02487 1.028152758e-07
99 -0.81465 0.01391 1.933522687e-08
100 -0.86593 0.02751 6.159485178e-07
101 -0.83373 0.01531 7.627571177e-07
102 -0.90702 0.02281 1.586331129e-05
103 -0.89879 0.00860 2.964522116e-07
104 -0.77614 0.01190 1.039388886e-08
105 -0.86348 0.02161 2.618703403e-06
106 -0.82465 0.02606 1.926978995e-07
107 -0.80576 0.01850 2.334356918e-08
108 -0.86161 0.02022 5.347548469e-06
109 -1.03593 0.01761 6.314026200e-05
110 -0.87005 0.02721 7.752932240e-06
111 -0.81326 0.02623 4.686824212e-07
112 -0.75718 0.03001 1.031189658e-06
113 -0.95618 0.01979 1.647222186e-05
114 -0.82079 0.02490 9.253760968e-08
115 -0.97372 0.02431 2.375238194e-08
116 -1.02150 0.02070 3.509338099e-05
117 -0.81328 0.04391 1.028202782e-07
118 -0.72151 0.01119 1.485195719e-11
119 -1.02915 0.01488 1.589854891e-05
120 -0.92154 0.01506 5.855811702e-05
121 -0.83102 0.02105 1.192156178e-07
122 -0.91643 0.01951 2.480693750e-04
123 -0.87831 0.02985 4.220664118e-07
124 -0.90752 0.01337 2.153088745e-06
125 -0.91012 0.02489 1.893749711e-06
126 -0.87486 0.03436 7.744158336e-08
127 -0.80130 0.01750 1.397195682e-09
128 -0.84172 0.02368 2.282893683e-07
129 -0.82431 0.03396 2.771940720e-07
130 -0.90841 0.00947 2.508362994e-08
131 -0.78483 0.01471 1.992616977e-08
132 -0.81828 0.01822 2.661815214e-06
133 -0.75747 0.03010 3.001158660e-08
134 -1.01341 0.01433 3.770605809e-06
135 -0.79683 0.03044 8.347502597e-06
136 -0.83813 0.02005 1.421981896e-07
137 -0.79466 0.01458 1.153039701e-09
138 -0.87427 0.01924 2.293324302e-08
139 -0.79263 0.03477 4.967644517e-07
140 -0.85703 0.01740 3.838969296e-06
141 -0.66141 0.05169 3.833464292e-07
142 -0.93942 0.01655 9.066235192e-08
143 -0.89692 0.01787 3.745559611e-09
144 -0.82357 0.01488 4.222701353e-06
145 -0.83482 0.01835 9.914025720e-08
146 -0.92779 0.02629 2.435557444e-06
147 -0.76761 0.02087 6.720943354e-07
148 -0.94787 0.01519 6.494054190e-07
149 -0.78774 0.02253 1.080264065e-09
150 -0.94567 0.03150 4.624700442e-07
151 -0.87078 0.02751 7.090408446e-05
152 -0.91227 0.02132 2.140676176e-05
153 -0.73669 0.02381 7.607905877e-09
154 -0.68785 0.02821 5.038473186e-10
155 -0.93400 0.01991 8.349533403e-05
156 -0.83646 0.02843 5.352034071e-08
157 -0.80228 0.01639 2.900770203e-07
158 -0.92112 0.02718 1.939959375e-05
159 -0.77587 0.01232 5.229349912e-11
160 -0.88892 0.03047 3.443185529e-05
161 -0.83359 0.02593 8.031803107e-06
162 -0.97102 0.03428 2.277330487e-06
163 -0.77897 0.02393 5.414260044e-08
164 -0.89999 0.01968 1.101511641e-07
165 -0.85015 0.02309 2.117286665e-07
166 -0.91598 0.01782 2.928537123e-07
167 -0.81532 0.02505 8.987571476e-07
168 -0.85337 0.03000 1.798632046e-07
169 -0.90465 0.00938 1.612709637e-08
170 -0.82518 0.01828 1.722430250e-05
171 -0.76985 0.02208 1.600026231e-10
172 -0.89714 0.01547 1.699645498e-06
173 -0.86977 0.01659 4.225596052e-10
174 -0.81985 0.01298 1.542952183e-08
175 -0.87953 0.01214 5.338899664e-10
176 -0.79921 0.01933 1.330514566e-08
177 -0.79636 0.02168 8.194353128e-08
178 -0.81272 0.02637 1.502026838e-08
179 -0.82296 0.02678 3.122743383e-05
180 -0.91906 0.01964 6.625652442e-07
181 -0.78265 0.01642 4.403344242e-10
182 -0.85211 0.02731 3.676344230e-04
183 -0.93658 0.02363 5.532880326e-06
184 -0.91374 0.01792 4.240532132e-08
185 -0.97776 0.01424 6.886854538e-07
186 -0.80937 0.02996 4.268746085e-06
187 -0.89233 0.01868 9.308874883e-07
188 -0.78286 0.01769 2.615359765e-08
189 -0.79478 0.02119 4.225730433e-09
190 -0.87797 0.02511 9.193632648e-06
191 -0.70131 0.02563 3.088050653e-08
192 -0.86714 0.03084 1.313951350e-07
193 -0.90905 0.03658 1.729749689e-06
194 -0.75218 0.01992 7.316515747e-06
195 -0.89412 0.02641 2.815138427e-07
196 -0.87711 0.01627 3.564797493e-07
197 -0.85431 0.01277 3.658099692e-08
198 -0.90674 0.02756 8.261954753e-07
199 -0.89224 0.02794 5.953058175e-08
200 -0.83203 0.02818 6.627124127e-07
201 -0.90022 0.02548 2.031691342e-08
202 -0.81030 0.01860 1.049142156e-07
203 -0.83727 0.01463 2.056118014e-07
204 -0.85602 0.01835 2.917057066e-07
205 -0.93515 0.02153 8.241060613e-06
206 -0.82198 0.03593 1.838532826e-06
207 -0.93515 0.01886 8.288737763e-08
208 -0.96594 0.01196 1.924350116e-05
209 -0.78872 0.01080 8.997847632e-09
210 -0.82235 0.02598 2.387300817e-07
211 -0.90012 0.04139 6.972126028e-06
212 -0.66536 0.02773 1.195250479e-09
213 -0.87214 0.02475 4.714005902e-05
214 -0.89059 0.01904 6.766092117e-07
215 -0.76565 0.01996 9.124070567e-09
216 -0.89911 0.02140 1.585165423e-07
217 -0.78322 0.02860 9.417195255e-08
218 -0.75897 0.02438 8.593088884e-08
219 -0.81339 0.01344 7.305935671e-07
220 -0.88990 0.00953 4.001597220e-07
221 -0.86577 0.02691 1.662630586e-08
222 -0.83314 0.01152 1.358415067e-07
223 -0.85738 0.01232 4.042076585e-06
224 -0.90683 0.02181 3.194601346e-07
225 -0.87613 0.02699 7.707204708e-06
226 -0.94246 0.02106 9.867039905e-03
227 -0.70308 0.03181 2.384655406e-09
228 -0.90092 0.02490 9.778694391e-08
229 -0.84224 0.02151 7.110889808e-09
230 -0.72277 0.01600 4.467648081e-08
231 -0.93136 0.01880 2.890364824e-07
232 -0.84084 0.00772 5.062863036e-05
233 -0.87974 0.00714 1.522474752e-08
234 -1.02486 0.02108 4.711889337e-08
235 -0.85035 0.02677 3.622598503e-06
236 -0.77582 0.01887 9.992311295e-07
237 -0.80044 0.00802 1.564466221e-07
238 -0.65825 0.01124 2.491973240e-12
239 -0.87058 0.01959 5.559244339e-06
240 -0.97487 0.02103 1.166617922e-06
241 -0.90260 0.01954 1.948965439e-08
242 -0.91157 0.03051 1.087102804e-06
243 -0.84190 0.03373 1.710433600e-06
244 -0.96922 0.02521 1.792109073e-06
245 -0.89480 0.01520 3.266976835e-07
246 -0.95613 0.02577 7.739402675e-07
247 -0.76223 0.02505 2.932385019e-08
248 -0.83152 0.01095 9.427239863e-09
249 -0.88191 0.02254 8.316248157e-08
250 -0.82045 0.01703 8.307859282e-05
251 -0.77891 0.01609 2.559700811e-08
252 -0.92936 0.01123 8.182658506e-05
253 -0.83422 0.01991 5.513366824e-07
254 -1.04862 0.02388 4.406305944e-04
255 -0.95333 0.02740 2.566297281e-05
256 -0.92573 0.00646 1.447408719e-05
257 -0.82347 0.01219 8.689869180e-08
258 -0.82566 0.01437 1.263434701e-08
259 -0.80806 0.02956 8.038913094e-08
260 -0.96710 0.01154 9.217180635e-06
261 -0.89631 0.02653 2.164401012e-08
262 -0.85297 0.02911 2.123985254e-08
263 -0.78238 0.03315 6.567382560e-08
264 -0.87922 0.02239 4.140298934e-08
265 -0.90094 0.02068 1.156584799e-07
266 -0.86532 0.01364 1.082433158e-09
267 -0.83041 0.01751 1.961170512e-06
268 -0.89107 0.01875 1.138684695e-07
269 -0.86349 0.02303 3.874943812e-08
270 -0.91358 0.01926 6.229013937e-08
271 -0.91421 0.01724 2.812408036e-07
272 -0.78144 0.02706 5.732642580e-09
273 -0.81156 0.01630 3.757823950e-08
274 -0.94657 0.02643 1.356250208e-06
275 -0.97004 0.02430 1.097263918e-06
276 -0.82266 0.02366 4.327206948e-06
277 -0.94254 0.00727 8.927740053e-09
278 -0.97657 0.01650 4.131356593e-07
279 -0.77433 0.02843 1.752803605e-06
280 -0.78885 0.02356 4.455637425e-08
281 -0.85090 0.01261 5.403010570e-08
282 -0.82257 0.02324 1.537985060e-05
283 -0.84071 0.02085 3.284176964e-11
284 -0.87848 0.01544 7.403469312e-08
285 -0.92163 0.02622 1.770194306e-05
286 -0.95735 0.02115 6.171837793e-05
287 -0.87791 0.02513 1.551525258e-08
288 -0.82366 0.01463 6.363260356e-08
289 -0.83813 0.01031 3.862952737e-09
290 -0.95438 0.01090 2.132159190e-04
291 -0.68337 0.02432 1.837621426e-11
292 -1.01398 0.02681 6.988029572e-05
293 -0.94154 0.01891 2.873657649e-07
294 -0.78343 0.03107 6.051628171e-08
295 -0.82278 0.01290 1.001179043e-10
296 -0.78264 0.01830 3.026249004e-07
297 -0.77228 0.02351 3.281367119e-09
298 -0.81922 0.03193 1.094432310e-09
299 -0.77250 0.01499 5.443279092e-08
300 -0.82593 0.02698 9.579702190e-06
301 -0.76065 0.02905 1.513390445e-08
302 -0.75410 0.04168 1.577727904e-07
303 -0.89056 0.01010 3.304236723e-09
304 -0.87635 0.01747 4.787272317e-05
305 -0.83547 0.01737 2.308219149e-07
306 -0.82069 0.01782 8.935914880e-06
