# id seg1 seg2 log10Jsquare_ave log10Jsquare_std J_Sti
0 0 68 -8.50677e+00 2.56938e-01 3.700514901e-15
1 0 70 -3.17183e+00 3.72914e-01 3.210304485e-07
2 0 144 -6.57612e+00 5.53111e-01 1.751039200e-12
3 0 148 -5.05237e+00 6.12191e-01 2.240203412e-07
4 0 157 -7.82562e+00 6.34282e-01 1.763237901e-12
5 0 205 -6.39673e+00 8.70322e-01 8.476344929e-11
6 0 265 -7.52033e+00 4.84535e-01 7.798201179e-13
7 0 329 -7.73449e+00 8.18712e-01 1.155740814e-12
8 0 345 -6.07675e+00 5.23550e-01 1.569470323e-11
9 0 405 -8.71398e+00 5.91052e-01 9.830723785e-16
10 0 554 -5.20914e+00 1.53907e-01 9.048503179e-10
11 0 709 -3.81241e+00 3.14204e-01 5.696888013e-08
12 0 756 -5.64466e+00 8.53014e-01 3.191056101e-07
13 0 764 -5.79953e+00 6.88100e-01 7.252478658e-12
14 0 963 -6.47688e+00 1.07092e+00 2.507613702e-09
15 0 989 -6.82171e+00 1.75567e+00 3.656835055e-13
16 1 30 -4.85849e+00 6.50360e-01 2.355593696e-08
17 1 37 -6.24236e+00 1.66468e-01 1.514694934e-09
18 1 47 -4.80744e+00 4.71274e-01 4.169112113e-09
19 1 111 -9.17727e+00 1.42762e+00 5.819702712e-16
20 1 134 -3.79793e+00 7.98466e-01 2.698516998e-05
21 1 267 -6.97875e+00 1.09883e+00 1.783413261e-10
22 1 376 -4.50189e+00 4.26935e-01 2.027939589e-07
23 1 434 -9.58288e+00 6.52286e-01 4.760127668e-18
24 1 522 -5.50399e+00 1.88181e-01 2.630444617e-08
25 1 569 -2.94388e+00 1.86971e-01 2.134514822e-08
26 1 580 -3.65224e+00 8.49036e-01 5.993984427e-05
27 1 600 -8.63238e+00 5.91881e-01 8.060321592e-20
28 1 628 -5.54367e+00 4.73593e-01 9.571903662e-10
29 1 682 -5.02948e+00 5.86548e-01 4.196430862e-08
30 1 693 -8.65555e+00 1.26715e+00 1.725882969e-16
31 1 768 -6.71286e+00 4.12000e-01 1.628123226e-12
32 1 871 -1.14502e+01 5.90192e-01 2.742711646e-18
33 1 879 -8.21990e+00 1.54798e+00 4.439318495e-08
34 1 900 -1.03270e+01 7.93089e-01 3.753193321e-18
35 1 970 -8.22300e+00 6.38534e-01 1.058740384e-14
36 1 972 -5.73274e+00 5.04079e-01 1.658258110e-11
37 2 13 -7.40024e+00 1.01940e+00 9.843445097e-13
38 2 14 -6.59662e+00 2.62530e-01 8.995040490e-13
39 2 38 -7.92326e+00 3.08815e-01 2.533739935e-14
40 2 63 -4.83090e+00 3.48560e-01 1.452694620e-11
41 2 197 -4.49917e+00 3.90292e-01 2.251684171e-09
42 2 253 -8.68337e+00 6.54304e-01 9.435621533e-15
43 2 342 -2.88634e+00 4.03698e-01 1.202898930e-09
44 2 358 -5.96279e+00 5.13679e-01 3.671315256e-09
45 2 438 -3.36813e+00 6.31526e-01 2.667712983e-06
46 2 485 -4.94242e+00 6.16818e-01 2.311371889e-11
47 2 553 -5.10447e+00 8.08482e-01 4.897066160e-11
48 2 595 -7.96752e+00 3.17399e-01 1.247392849e-10
49 2 614 -8.85569e+00 6.57852e-01 3.452574248e-14
50 2 629 -2.64887e+00 8.32317e-01 2.717569990e-05
51 2 640 -5.28195e+00 5.39832e-01 4.857667720e-12
52 2 802 -8.60732e+00 3.52884e-01 1.195307744e-15
53 2 946 -9.28519e+00 3.42482e-01 2.185023127e-16
54 3 59 -5.43650e+00 3.58147e-01 0.000000000e+00
55 3 85 -3.73839e+00 4.69323e-01 1.471846071e-08
56 3 149 -4.99816e+00 1.56864e-01 0.000000000e+00
57 3 291 -9.05779e+00 7.09319e-01 3.996911956e-18
58 3 302 -4.27989e+00 9.45152e-01 2.379487141e-07
59 3 307 -4.73872e+00 2.62558e-01 0.000000000e+00
60 3 328 -4.48161e+00 4.76269e-01 1.544179699e-08
61 3 354 -4.71159e+00 6.99035e-01 0.000000000e+00
62 3 358 -9.26321e+00 9.64266e-01 2.170544753e-13
63 3 384 -6.67775e+00 7.59389e-01 2.159316876e-12
64 3 475 -7.34963e+00 5.32005e-01 0.000000000e+00
